iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
408	232	282	232	340	232	282	340
409	232	282	232	340	232	282	340
410	232	282	232	340	232	282	340
411	233	284	233	340	233	284	340
412	233	284	233	340	233	284	340
413	233	284	233	340	233	284	340
414	233	284	233	340	233	284	340
415	232	282	232	340	232	282	340
416	233	284	233	340	233	284	340
417	233	284	233	340	233	284	340
418	233	284	233	340	233	284	340
419	233	284	233	340	233	284	340
420	233	284	233	340	233	284	340
421	233	284	233	340	233	284	340
422	233	284	233	340	233	284	340
423	233	284	233	340	233	284	340
424	233	284	233	340	233	284	340
425	233	284	233	340	233	284	340
426	233	284	233	340	233	284	340
427	233	284	233	340	233	284	340
428	233	284	233	340	233	284	340
429	233	284	233	340	233	284	340
430	233	284	233	340	233	284	340
431	233	284	233	340	233	284	340
432	233	284	233	340	233	284	340
433	233	284	233	340	233	284	340
434	233	284	233	340	233	284	340
435	233	284	233	340	233	284	340
436	233	284	233	340	233	284	340
437	233	284	233	340	233	284	340
438	233	284	233	340	233	284	340
439	233	284	233	340	233	284	340
440	233	284	233	340	233	284	340
441	233	284	233	340	233	284	340
442	233	284	233	340	233	284	340
443	233	284	233	340	233	284	340
444	233	284	233	340	233	284	340
445	233	284	233	340	233	284	340
446	233	284	233	340	233	284	340
447	234	285	234	340	234	285	340
448	234	285	234	340	234	285	340
449	234	285	234	340	234	285	340
450	234	285	234	340	234	285	340
451	234	285	234	340	234	285	340
452	234	285	234	340	234	285	340
453	234	285	234	340	234	285	340
454	234	285	234	340	234	285	340
455	234	285	234	340	234	285	340
456	234	285	234	340	234	285	340
457	234	285	234	340	234	285	340
458	234	285	234	340	234	285	340
459	234	285	234	340	234	285	340
460	234	285	234	340	234	285	340
461	234	285	234	340	234	285	340
462	234	285	234	340	234	285	340
463	234	285	234	340	234	285	340
464	234	285	234	340	234	285	340
465	234	285	234	340	234	285	340
466	234	285	234	340	234	285	340
467	234	285	234	340	234	285	340
468	234	285	234	340	234	285	340
469	234	285	234	340	234	285	340
470	234	285	234	340	234	285	340
471	234	285	234	340	234	285	340
472	234	285	234	340	234	285	340
473	234	285	234	340	234	285	340
474	234	285	234	340	234	285	340
475	234	286	234	340	234	286	340
476	233	285	233	340	233	285	340
477	233	285	233	340	233	285	340
478	233	284	233	340	233	284	340
479	233	284	233	340	233	284	340
480	233	284	233	340	233	284	340
481	233	284	233	340	233	284	340
482	233	285	233	340	233	285	340
483	233	285	233	340	233	285	340
484	233	284	233	340	233	284	340
485	233	284	233	340	233	284	340
486	233	284	233	340	233	284	340
487	233	284	233	340	233	284	340
488	233	284	233	340	233	284	340
489	233	284	233	340	233	284	340
490	231	281	231	340	231	281	340
491	233	284	233	340	233	284	340
492	231	282	231	340	231	282	340
493	233	285	233	340	233	285	340
494	233	285	233	340	233	285	340
495	233	285	233	340	233	285	340
496	233	285	233	340	233	285	340
497	233	285	233	340	233	285	340
498	234	286	234	340	234	286	340
499	234	286	234	340	234	286	340
500	234	286	234	340	234	286	340
501	234	286	234	340	234	286	340
502	233	285	233	340	233	285	340
503	233	285	233	340	233	285	340
504	233	285	233	340	233	285	340
505	231	282	231	340	231	282	340
506	231	282	231	340	231	282	340
507	231	282	231	340	231	282	340
508	231	282	231	340	231	282	340
509	231	282	231	340	231	282	340
510	231	282	231	340	231	282	340
511	231	282	231	340	231	282	340
512	231	282	231	340	231	282	340
513	231	282	231	340	231	282	340
514	231	282	231	340	231	282	340
515	231	282	231	340	231	282	340
516	231	282	231	340	231	282	340
517	232	283	232	340	232	283	340
518	231	282	231	340	231	282	340
519	231	282	231	340	231	282	340
520	231	282	231	340	231	282	340
521	231	282	231	340	231	282	340
522	231	282	231	340	231	282	340
523	231	282	231	340	231	282	340
524	231	282	231	340	231	282	340
525	231	282	231	340	231	282	340
526	231	283	231	340	231	283	340
527	231	283	231	340	231	283	340
528	231	283	231	340	231	283	340
529	231	283	231	340	231	283	340
530	231	283	231	340	231	283	340
531	231	283	231	340	231	283	340
532	231	283	231	340	231	283	340
533	231	283	231	340	231	283	340
534	231	283	231	340	231	283	340
535	231	283	231	340	231	283	340
536	231	283	231	340	231	283	340
537	231	283	231	340	231	283	340
538	231	283	231	340	231	283	340
539	231	283	231	340	231	283	340
540	231	283	231	340	231	283	340
541	231	283	231	340	231	283	340
542	231	283	231	340	231	283	340
543	231	283	231	340	231	283	340
544	231	283	231	340	231	283	340
545	231	283	231	340	231	283	340
546	231	283	231	340	231	283	340
547	231	283	231	340	231	283	340
548	231	283	231	340	231	283	340
549	231	283	231	340	231	283	340
550	231	283	231	340	231	283	340
551	231	283	231	340	231	283	340
552	231	281	231	340	231	281	340
553	232	282	232	340	232	282	340
554	232	282	232	340	232	282	340
555	232	282	232	340	232	282	340
556	232	282	232	340	232	282	340
557	232	282	232	340	232	282	340
558	232	282	232	340	232	282	340
559	232	282	232	340	232	282	340
560	232	282	232	340	232	282	340
561	232	282	232	340	232	282	340
562	232	282	232	340	232	282	340
563	232	282	232	340	232	282	340
564	232	282	232	340	232	282	340
565	232	282	232	340	232	282	340
566	232	282	232	340	232	282	340
567	232	281	232	340	232	281	340
568	232	282	232	340	232	282	340
569	232	282	232	340	232	282	340
570	232	281	232	340	232	281	340
571	232	282	232	340	232	282	340
572	232	282	232	340	232	282	340
573	232	281	232	340	232	281	340
574	232	281	232	340	232	281	340
575	232	281	232	340	232	281	340
576	232	282	232	340	232	282	340
577	232	282	232	340	232	282	340
578	232	281	232	340	232	281	340
579	232	281	232	340	232	281	340
580	232	281	232	340	232	281	340
581	232	281	232	340	232	281	340
582	232	282	232	340	232	282	340
583	232	282	232	340	232	282	340
584	232	282	232	340	232	282	340
585	232	282	232	340	232	282	340
586	232	282	232	340	232	282	340
587	232	282	232	340	232	282	340
588	232	282	232	340	232	282	340
589	232	282	232	340	232	282	340
590	232	282	232	340	232	282	340
591	232	282	232	340	232	282	340
592	232	282	232	340	232	282	340
593	232	282	232	340	232	282	340
594	232	282	232	340	232	282	340
595	232	282	232	340	232	282	340
596	232	282	232	340	232	282	340
597	232	281	232	340	232	281	340
598	232	281	232	340	232	281	340
599	232	281	232	340	232	281	340
600	232	281	232	340	232	281	340
601	232	281	232	340	232	281	340
602	232	281	232	340	232	281	340
603	232	281	232	340	232	281	340
604	232	281	232	340	232	281	340
605	232	281	232	340	232	281	340
606	232	281	232	340	232	281	340
607	232	281	232	340	232	281	340
608	232	281	232	340	232	281	340
609	232	281	232	340	232	281	340
610	232	280	232	340	232	280	340
611	232	280	232	340	232	280	340
612	232	280	232	340	232	280	340
613	232	280	232	340	232	280	340
614	232	280	232	340	232	280	340
615	232	280	232	340	232	280	340
616	232	280	232	340	232	280	340
617	232	281	232	340	232	281	340
618	232	281	232	340	232	281	340
619	232	282	232	340	232	282	340
620	232	280	232	340	232	280	340
621	232	280	232	340	232	280	340
622	232	280	232	340	232	280	340
623	232	280	232	340	232	280	340
624	232	281	232	340	232	281	340
625	232	280	232	340	232	280	340
626	232	280	232	340	232	280	340
627	232	280	232	340	232	280	340
628	232	280	232	340	232	280	340
629	232	280	232	340	232	280	340
630	232	280	232	340	232	280	340
631	232	280	232	340	232	280	340
632	232	280	232	340	232	280	340
633	232	280	232	340	232	280	340
634	232	280	232	340	232	280	340
635	232	280	232	340	232	280	340
636	232	281	232	340	232	281	340
637	232	281	232	340	232	281	340
638	233	282	233	340	233	282	340
639	232	280	232	340	232	280	340
640	233	282	233	340	233	282	340
641	233	282	233	340	233	282	340
642	233	282	233	340	233	282	340
643	233	282	233	340	233	282	340
644	233	282	233	340	233	282	340
645	233	282	233	340	233	282	340
646	233	282	233	340	233	282	340
647	233	282	233	340	233	282	340
648	233	282	233	340	233	282	340
649	233	282	233	340	233	282	340
650	233	282	233	340	233	282	340
651	233	281	233	340	233	281	340
652	233	282	233	340	233	282	340
653	233	282	233	340	233	282	340
654	233	282	233	340	233	282	340
655	233	282	233	340	233	282	340
656	233	283	233	340	233	283	340
657	233	283	233	340	233	283	340
658	233	283	233	340	233	283	340
659	233	283	233	340	233	283	340
660	234	284	234	340	234	284	340
661	233	281	233	340	233	281	340
662	233	281	233	340	233	281	340
663	233	281	233	340	233	281	340
664	234	282	234	340	234	282	340
665	234	282	234	340	234	282	340
666	234	282	234	340	234	282	340
667	234	282	234	340	234	282	340
668	234	282	234	340	234	282	340
669	234	282	234	340	234	282	340
670	234	282	234	340	234	282	340
671	234	282	234	340	234	282	340
672	234	282	234	340	234	282	340
673	234	282	234	340	234	282	340
674	234	282	234	340	234	282	340
675	234	282	234	340	234	282	340
676	234	282	234	340	234	282	340
677	234	282	234	340	234	282	340
678	234	282	234	340	234	282	340
679	234	282	234	340	234	282	340
680	234	282	234	340	234	282	340
681	234	282	234	340	234	282	340
682	234	281	234	340	234	281	340
683	234	281	234	340	234	281	340
684	236	284	236	340	236	284	340
685	236	284	236	340	236	284	340
686	236	284	236	340	236	284	340
687	236	284	236	340	236	284	340
688	236	284	236	340	236	284	340
689	236	284	236	340	236	284	340
690	236	284	236	340	236	284	340
691	236	284	236	340	236	284	340
692	236	284	236	340	236	284	340
693	236	284	236	340	236	284	340
694	236	284	236	340	236	284	340
695	236	284	236	340	236	284	340
696	236	283	236	340	236	283	340
697	236	283	236	340	236	283	340
698	236	283	236	340	236	283	340
699	236	283	236	340	236	283	340
700	236	283	236	340	236	283	340
701	236	283	236	340	236	283	340
702	236	283	236	340	236	283	340
703	236	283	236	340	236	283	340
704	236	283	236	340	236	283	340
705	236	283	236	340	236	283	340
706	236	283	236	340	236	283	340
707	236	283	236	340	236	283	340
708	236	283	236	340	236	283	340
709	236	283	236	340	236	283	340
710	236	283	236	340	236	283	340
711	236	283	236	340	236	283	340
712	236	283	236	340	236	283	340
713	236	283	236	340	236	283	340
714	236	283	236	340	236	283	340
715	236	283	236	340	236	283	340
716	236	283	236	340	236	283	340
717	236	283	236	340	236	283	340
718	236	283	236	340	236	283	340
719	236	283	236	340	236	283	340
720	236	283	236	340	236	283	340
721	236	283	236	340	236	283	340
722	236	283	236	340	236	283	340
723	236	283	236	340	236	283	340
724	236	283	236	340	236	283	340
725	236	283	236	340	236	283	340
726	236	283	236	340	236	283	340
727	236	283	236	340	236	283	340
728	236	283	236	340	236	283	340
729	236	283	236	340	236	283	340
730	236	283	236	340	236	283	340
731	236	282	236	340	236	282	340
732	236	282	236	340	236	282	340
733	236	282	236	340	236	282	340
734	236	282	236	340	236	282	340
735	236	282	236	340	236	282	340
736	236	282	236	340	236	282	340
737	236	282	236	340	236	282	340
738	236	282	236	340	236	282	340
739	236	282	236	340	236	282	340
740	236	282	236	340	236	282	340
741	236	281	236	340	236	281	340
742	236	281	236	340	236	281	340
743	236	281	236	340	236	281	340
744	236	281	236	340	236	281	340
745	236	281	236	340	236	281	340
746	236	281	236	340	236	281	340
747	236	281	236	340	236	281	340
748	236	281	236	340	236	281	340
749	236	281	236	340	236	281	340
750	236	282	236	340	236	282	340
751	236	281	236	340	236	281	340
752	236	281	236	340	236	281	340
753	236	281	236	340	236	281	340
754	236	281	236	340	236	281	340
755	236	281	236	340	236	281	340
756	236	281	236	340	236	281	340
757	236	281	236	340	236	281	340
758	236	281	236	340	236	281	340
759	236	281	236	340	236	281	340
760	236	281	236	340	236	281	340
761	236	281	236	340	236	281	340
762	236	281	236	340	236	281	340
763	236	281	236	340	236	281	340
764	236	281	236	340	236	281	340
765	236	281	236	340	236	281	340
766	236	281	236	340	236	281	340
767	236	281	236	340	236	281	340
768	236	281	236	340	236	281	340
769	236	281	236	340	236	281	340
770	236	281	236	340	236	281	340
771	236	281	236	340	236	281	340
772	236	281	236	340	236	281	340
773	236	281	236	340	236	281	340
774	236	281	236	340	236	281	340
775	236	281	236	340	236	281	340
776	236	281	236	340	236	281	340
777	236	281	236	340	236	281	340
778	236	281	236	340	236	281	340
779	236	281	236	340	236	281	340
780	236	281	236	340	236	281	340
781	236	281	236	340	236	281	340
782	236	281	236	340	236	281	340
783	236	281	236	340	236	281	340
784	236	281	236	340	236	281	340
785	236	281	236	340	236	281	340
786	236	281	236	340	236	281	340
787	236	281	236	340	236	281	340
788	236	281	236	340	236	281	340
789	236	281	236	340	236	281	340
790	236	281	236	340	236	281	340
791	236	281	236	340	236	281	340
792	236	281	236	340	236	281	340
793	236	281	236	340	236	281	340
794	236	281	236	340	236	281	340
795	236	281	236	340	236	281	340
796	236	281	236	340	236	281	340
797	236	281	236	340	236	281	340
798	236	281	236	340	236	281	340
799	236	281	236	340	236	281	340
800	236	281	236	340	236	281	340
801	236	281	236	340	236	281	340
802	236	281	236	340	236	281	340
803	236	281	236	340	236	281	340
804	236	281	236	340	236	281	340
805	236	281	236	340	236	281	340
806	236	281	236	340	236	281	340
807	236	281	236	340	236	281	340
808	236	281	236	340	236	281	340
809	236	281	236	340	236	281	340
810	236	281	236	340	236	281	340
811	236	281	236	340	236	281	340
812	236	281	236	340	236	281	340
813	236	281	236	340	236	281	340
814	236	281	236	340	236	281	340
815	236	281	236	340	236	281	340
816	236	281	236	340	236	281	340
817	236	281	236	340	236	281	340
818	236	281	236	340	236	281	340
819	236	281	236	340	236	281	340
820	236	281	236	340	236	281	340
821	236	281	236	340	236	281	340
822	236	281	236	340	236	281	340
823	236	281	236	340	236	281	340
824	236	281	236	340	236	281	340
825	236	281	236	340	236	281	340
826	236	281	236	340	236	281	340
827	236	281	236	340	236	281	340
828	236	281	236	340	236	281	340
829	236	281	236	340	236	281	340
830	236	281	236	340	236	281	340
831	236	281	236	340	236	281	340
832	236	281	236	340	236	281	340
833	236	281	236	340	236	281	340
834	236	281	236	340	236	281	340
835	236	281	236	340	236	281	340
836	236	281	236	340	236	281	340
837	236	281	236	340	236	281	340
838	236	281	236	340	236	281	340
839	236	281	236	340	236	281	340
840	236	281	236	340	236	281	340
841	236	281	236	340	236	281	340
842	236	281	236	340	236	281	340
843	236	281	236	340	236	281	340
844	236	281	236	340	236	281	340
845	236	281	236	340	236	281	340
846	236	281	236	340	236	281	340
847	236	281	236	340	236	281	340
848	236	281	236	340	236	281	340
849	236	281	236	340	236	281	340
850	236	281	236	340	236	281	340
851	236	281	236	340	236	281	340
852	236	281	236	340	236	281	340
853	236	281	236	340	236	281	340
854	236	281	236	340	236	281	340
855	236	281	236	340	236	281	340
856	236	281	236	340	236	281	340
857	236	281	236	340	236	281	340
858	236	281	236	340	236	281	340
859	236	281	236	340	236	281	340
860	236	281	236	340	236	281	340
861	236	281	236	340	236	281	340
862	236	281	236	340	236	281	340
863	236	281	236	340	236	281	340
864	236	281	236	340	236	281	340
865	236	281	236	340	236	281	340
866	236	281	236	340	236	281	340
